ticid,ra,dec,tmag,objname,period,period_err,t0,t0_err,rp_rj,source,updatedate,planetno
427317404,2.2415416666666665,2.9450000000000003,9.711,EBLM J0008+02,4.7223,0.0,1709.0529999999999,0.0,1.0,EBLM,20170724,B
120585579,4.45125,-38.11088888888889,12.452,EBLM J0017-38,6.3401,0.0,1791.7449,0.0,1.0,EBLM,20170724,B
406352710,5.253208333333333,-16.124583333333334,9.188,EBLM J0021-16,5.9673,0.0,1069.3159,0.0,1.0,EBLM,20170724,B
115693377,6.818791666666667,-41.571583333333336,11.329,EBLM J0027-41,4.928,0.0,1311.5215,0.0,1.0,EBLM,20170724,B
38850860,8.918291666666667,-69.8145,11.438,EBLM J0035-69,8.4146,0.0,1232.2357,0.0,1.0,EBLM,20170724,B
328068200,10.006249999999998,1.0945277777777778,10.3,EBLM J0040+01,7.2348,0.0,1400.9647,0.0,1.0,EBLM,20170724,B
92199729,10.642541666666666,-17.298083333333334,9.636,EBLM J0042-17,10.3475,0.0,777.227,0.0,1.0,EBLM,20170724,B
39018208,12.089416666666667,-66.16022222222223,11.055,EBLM J0048-66,6.6493,0.0,1316.3741,0.0,1.0,EBLM,20170724,B
268529943,14.495583333333332,-19.82986111111111,11.009,EBLM J0057-19,4.3005,0.0,632.2772,0.0,1.0,EBLM,20170724,B
180871989,16.079708333333333,-38.308527777777776,10.834,EBLM J0104-38,8.2561,0.0,824.3094,0.0,1.0,EBLM,20170724,B
52079677,17.303625,-67.91897222222222,11.848,EBLM J0109-67,9.03,0.0,1017.5335,0.0,1.0,EBLM,20170724,B
146247270,34.555166666666665,-31.08813888888889,9.33,EBLM J0218-31,8.8841,0.0,1128.6773,0.0,1.0,EBLM,20170724,B
422844353,37.03695833333333,5.596583333333333,9.853,EBLM J0228+05,6.6347,0.0,1787.7005,0.0,1.0,EBLM,20170724,B
64108432,39.872,-20.040000000000003,10.114,EBLM J0239-20,2.7787,0.0,459.7136,0.0,1.0,EBLM,20170724,B
231275247,41.83541666666667,-51.45288888888889,9.077,EBLM J0247-51,4.0079,0.0,1322.1115,0.0,1.0,EBLM,20170724,B
89045042,47.594249999999995,-31.126583333333333,8.854,EBLM J0310-31,12.6428,0.0,1668.2438,0.0,1.0,EBLM,20170724,B
88571421,48.86054166666667,-24.26263888888889,10.956,EBLM J0315-24,3.1905,0.0,688.6659,0.0,1.0,EBLM,20170724,B
12529950,51.68750000000001,-9.342111111111112,11.998,EBLM J0326-09,2.4004,0.0,1608.8353,0.0,1.0,EBLM,20170724,B
374827241,54.790124999999996,3.09375,10.934,EBLM J0339+03,3.5807,0.0,1043.6536,0.0,1.0,EBLM,20170724,B
38677487,57.752250000000004,-7.098583333333333,10.228,EBLM J0351-07,4.0809,0.0,642.7425,0.0,1.0,EBLM,20170724,B
362043085,58.28725,5.609249999999999,10.297,EBLM J0353+05,6.862,0.0,1108.5117,0.0,1.0,EBLM,20170724,B
279454212,58.47716666666667,-16.95425,10.071,EBLM J0353-16,11.7612,0.0,870.8052,0.0,1.0,EBLM,20170724,B
237342298,60.236916666666666,-51.12430555555556,11.726,EBLM J0400-51,2.6921,0.0,1593.3853,0.0,1.0,EBLM,20170724,B
153741139,66.38208333333334,-46.218805555555555,10.367,EBLM J0425-46,16.5879,0.0,1716.2169,0.0,1.0,EBLM,20170724,B
170749770,68.24495833333333,-33.49663888888889,10.662,EBLM J0432-33,5.3055,0.0,987.8293,0.0,1.0,EBLM,20170724,B
259470701,70.06075000000001,-48.29794444444444,11.034,EBLM J0440-48,2.543,0.0,1006.8321,0.0,1.0,EBLM,20170724,B
56128191,70.75733333333334,-6.430750000000001,10.976,EBLM J0443-06,3.1119,0.0,992.7277,0.0,1.0,EBLM,20170724,B
9433212,73.54679166666668,-9.498166666666666,11.622,EBLM J0454-09,5.0135,0.0,417.0402,0.0,1.0,EBLM,20170724,B
161577376,75.137,-46.189249999999994,11.281,EBLM J0500-46,8.2844,0.0,2211.6977,0.0,1.0,EBLM,20170724,B
13982168,75.66083333333333,-38.72527777777778,11.527,EBLM J0502-38,3.2563,0.0,1172.8914,0.0,1.0,EBLM,20170724,B
43648757,76.14558333333333,-9.224777777777778,11.294,EBLM J0504-09,2.699,0.0,1422.9315,0.0,1.0,EBLM,20170724,B
167671107,79.693625,-39.05452777777778,9.778,EBLM J0518-39,3.6498,0.0,580.8828,0.0,1.0,EBLM,20170724,B
24522770,80.24775,-6.704611111111111,11.401,EBLM J0520-06,2.1315,0.0,796.9447,0.0,1.0,EBLM,20170724,B
382188882,81.35295833333333,-55.019888888888886,10.615,EBLM J0525-55,4.8001,0.0,2062.9363,0.0,1.0,EBLM,20170724,B
264537668,81.52020833333333,4.859833333333333,11.548,EBLM J0526+04,4.031000000000001,0.0,1328.6471,0.0,1.0,EBLM,20170724,B
24397947,81.66279166666668,-34.6165,10.715,EBLM J0526-34,10.1909,0.0,697.4621,0.0,1.0,EBLM,20170724,B
46627823,85.18158333333334,-17.54577777777778,11.002,EBLM J0540-17,6.0049,0.0,1849.1862,0.0,1.0,EBLM,20170724,B
350480660,85.964375,-57.16347222222222,11.251,EBLM J0543-57,4.4638,0.0,904.4484,0.0,1.0,EBLM,20170724,B
93334206,86.52020833333333,-18.29866666666667,11.553,EBLM J0546-18,3.1919,0.0,612.8086,0.0,1.0,EBLM,20170724,B
260128333,92.133125,-59.54113888888889,11.446,EBLM J0608-59,14.6085,0.0,561.1967,0.0,1.0,EBLM,20170724,B
219201178,92.723375,-52.89625,10.777,EBLM J0610-52,2.417,0.0,653.5863,0.0,1.0,EBLM,20170724,B
231972938,95.47308333333334,-46.21947222222222,12.025,EBLM J0621-46,1.5508,0.0,701.6539,0.0,1.0,EBLM,20170724,B
255548311,95.48599999999999,-50.925666666666665,11.459,EBLM J0621-50,4.9638,0.0,838.9965,0.0,1.0,EBLM,20170724,B
49701947,95.79758333333334,-27.729166666666664,10.943,EBLM J0623-27,5.7779,0.0,2042.8657,0.0,1.0,EBLM,20170724,B
232030067,96.31704166666667,-43.78666666666666,11.435,EBLM J0625-43,3.969,0.0,706.5484,0.0,1.0,EBLM,20170724,B
167201539,96.88083333333334,-67.77191666666667,10.904,EBLM J0627-67,9.4689,0.0,771.9299,0.0,1.0,EBLM,20170724,B
260536927,96.94816666666668,-59.215944444444446,11.481,EBLM J0627-59,5.7296,0.0,2040.9632,0.0,1.0,EBLM,20170724,B
167208380,97.30895833333334,-67.41980555555556,11.576,EBLM J0629-67,18.2903,0.0,1134.3974,0.0,1.0,EBLM,20170724,B
167526485,100.51391666666667,-60.67027777777778,9.801,EBLM J0642-60,5.0115,0.0,1104.2588,0.0,1.0,EBLM,20170724,B
167554898,101.31579166666666,-61.0915,9.663,EBLM J0645-61,4.4537,0.0,896.69,0.0,1.0,EBLM,20170724,B
172742334,101.408,-26.71175,11.701,EBLM J0645-26,7.5648,0.0,668.8738,0.0,1.0,EBLM,20170724,B
173038281,102.27504166666667,-27.349527777777777,9.689,EBLM J0649-27,4.308,0.0,803.8123,0.0,1.0,EBLM,20170724,B
53059882,102.62116666666665,-34.60491666666667,10.074,EBLM J0650-34,8.9577,0.0,1101.6304,0.0,1.0,EBLM,20170724,B
167812449,104.78241666666668,-61.84002777777778,11.186,EBLM J0659-61,4.2356,0.0,1710.3217,0.0,1.0,EBLM,20170724,B
96799506,105.1765,-30.719166666666666,11.4,EBLM J0700-30,6.5456,0.0,1975.9857,0.0,1.0,EBLM,20170724,B
343963409,107.31383333333335,-52.92166666666667,12.451,EBLM J0709-52,9.107999999999999,0.0,1691.6174,0.0,1.0,EBLM,20170724,B
452845139,120.32541666666668,2.5691666666666664,11.622,EBLM J0801+02,3.3488,0.0,1712.5164,0.0,1.0,EBLM,20170724,B
265279725,132.97508333333332,5.708472222222222,12.002,EBLM J0851+05,2.5537,0.0,930.632,0.0,1.0,EBLM,20170724,B
265353588,133.8645,4.834638888888889,8.792,EBLM J0855+04,2.227,0.0,842.875,0.0,1.0,EBLM,20170724,B
25776767,145.31983333333332,-31.8195,10.57,EBLM J0941-31,5.5456,0.0,341.5389,0.0,1.0,EBLM,20170724,B
96106862,147.2060416666667,-8.493444444444444,8.843,EBLM J0948-08,5.3798,0.0,873.4589,0.0,1.0,EBLM,20170724,B
101395259,148.720375,-23.33213888888889,10.177,EBLM J0954-23,7.5746,0.0,1357.5882,0.0,1.0,EBLM,20170724,B
35655828,148.7445,-45.29061111111111,9.471,EBLM J0954-45,8.0726,0.0,741.6541,0.0,1.0,EBLM,20170724,B
45599777,148.82608333333334,-39.88302777777778,12.288,EBLM J0955-39,5.3136,0.0,459.6361,0.0,1.0,EBLM,20170724,B
72605231,151.79200000000003,-40.47127777777778,10.393,EBLM J1007-40,3.9360000000000004,0.0,600.7162,0.0,1.0,EBLM,20170724,B
167983141,152.13975,-29.599305555555553,10.422,EBLM J1008-29,10.4009,0.0,1864.5846,0.0,1.0,EBLM,20170724,B
277712294,153.46183333333332,1.991138888888889,10.723,EBLM J1013+01,2.8923,0.0,730.2204,0.0,1.0,EBLM,20170724,B
26273760,153.68791666666667,-7.2259722222222225,9.297,EBLM J1014-07,4.5575,0.0,823.7153,0.0,1.0,EBLM,20170724,B
102978235,155.99179166666664,-43.424055555555555,11.462,EBLM J1023-43,3.6841,0.0,717.0993,0.0,1.0,EBLM,20170724,B
193271278,158.57875,-29.815361111111113,10.336,EBLM J1034-29,2.1743,0.0,842.0065,0.0,1.0,EBLM,20170724,B
187930369,159.278875,-25.571555555555555,9.619,EBLM J1037-25,4.9366,0.0,769.2310000000001,0.0,1.0,EBLM,20170724,B
294191640,159.36466666666666,-45.363416666666666,12.031,EBLM J1037-45,1.5939,0.0,701.3871,0.0,1.0,EBLM,20170724,B
106470229,159.602125,-37.83836111111111,13.035,EBLM J1038-37,5.0217,0.0,1380.0845,0.0,1.0,EBLM,20170724,B
178723395,166.14533333333333,-43.24030555555556,11.112,EBLM J1104-43,1.7616,0.0,744.5903,0.0,1.0,EBLM,20170724,B
270462117,166.36529166666668,-13.883916666666666,9.911,EBLM J1105-13,3.9343,0.0,579.1865,0.0,1.0,EBLM,20170724,B
23555025,169.03558333333334,-32.652138888888885,11.653,EBLM J1116-32,4.7456,0.0,546.9853,0.0,1.0,EBLM,20170724,B
443618156,169.185125,-1.8687500000000001,12.254,EBLM J1116-01,7.3758,0.0,883.6445,0.0,1.0,EBLM,20170724,B
454013359,175.30075000000002,-37.791555555555554,8.975,EBLM J1141-37,5.1477,0.0,908.7803,0.0,1.0,EBLM,20170724,B
61635991,176.71037500000003,-42.6165,9.754,EBLM J1146-42,10.4664,0.0,1453.7398,0.0,1.0,EBLM,20170724,B
165493409,180.44525000000002,-36.44694444444444,10.343,EBLM J1201-36,9.1131,0.0,1593.4912,0.0,1.0,EBLM,20170724,B
421191260,182.17220833333334,-29.663,9.747,EBLM J1208-29,2.676,0.0,742.9323,0.0,1.0,EBLM,20170724,B
135050395,184.837625,-39.85711111111111,9.543,EBLM J1219-39,6.76,0.0,742.0458,0.0,1.0,EBLM,20170724,B
102169275,195.25487500000003,-37.97802777777778,11.615,EBLM J1301-37,6.5498,0.0,1082.8007,0.0,1.0,EBLM,20170724,B
124095230,196.27462500000001,-31.43702777777778,11.454,EBLM J1305-31,10.6191,0.0,1348.5758,0.0,1.0,EBLM,20170724,B
6121688,215.197875,-7.609305555555555,9.359,EBLM J1420-07,2.7039,0.0,749.1641,0.0,1.0,EBLM,20170724,B
23749348,217.96729166666668,-11.311222222222224,12.038,EBLM J1431-11,4.4501,0.0,1038.1617,0.0,1.0,EBLM,20170724,B
127955334,218.437625,-43.01111111111111,10.887,EBLM J1433-43,3.0825,0.0,1471.4781,0.0,1.0,EBLM,20170724,B
157937899,219.19341666666668,-13.543194444444444,11.874,EBLM J1436-13,3.9975,0.0,652.8486,0.0,1.0,EBLM,20170724,B
75490265,225.23908333333333,-33.43908333333333,11.586,EBLM J1500-33,3.7382,0.0,584.4377,0.0,1.0,EBLM,20170724,B
79148578,227.42070833333335,-10.869527777777778,11.343,EBLM J1509-10,6.8678,0.0,482.7147,0.0,1.0,EBLM,20170724,B
148905216,231.37279166666667,-36.40461111111111,10.98,EBLM J1525-36,9.0089,0.0,508.6974,0.0,1.0,EBLM,20170724,B
176074202,239.83279166666668,-5.560611111111111,8.962,EBLM J1559-05,3.7601,0.0,1173.7,0.0,1.0,EBLM,20170724,B
318951125,247.60683333333333,10.158277777777778,11.015,EBLM J1630+10,10.9638,0.0,692.2887,0.0,1.0,EBLM,20170724,B
469755925,292.2452083333333,-38.14088888888889,10.559,EBLM J1928-38,23.3227,0.0,1786.5841,0.0,1.0,EBLM,20170724,B
143291764,293.6070416666667,-42.38655555555555,11.856,EBLM J1934-42,6.3524,0.0,1887.4302,0.0,1.0,EBLM,20170724,B
69100028,296.00054166666666,-20.85141666666667,12.24,EBLM J1944-20,2.7408,0.0,1043.4080000000001,0.0,1.0,EBLM,20170724,B
69485110,296.7948333333334,-23.381138888888888,8.546,EBLM J1947-23,1.9196,0.0,1190.1808,0.0,1.0,EBLM,20170724,B
409934687,302.8322083333333,-71.66733333333333,8.786,EBLM J2011-71,5.8727,0.0,1779.1339,0.0,1.0,EBLM,20170724,B
369984032,306.3561666666667,-45.82916666666667,10.338,EBLM J2025-45,6.192,0.0,1257.8296,0.0,1.0,EBLM,20170724,B
387966469,306.91154166666666,3.240638888888889,10.834,EBLM J2027+03,3.8397,0.0,1612.9585,0.0,1.0,EBLM,20170724,B
291116020,310.17325,-41.533277777777776,11.078,EBLM J2040-41,14.4562,0.0,1716.1185,0.0,1.0,EBLM,20170724,B
76832408,310.9219166666666,-18.265666666666668,11.956,EBLM J2043-18,6.9114,0.0,1448.8266,0.0,1.0,EBLM,20170724,B
369456296,311.6587083333333,-40.538666666666664,11.053,EBLM J2046-40,37.0143,0.0,1273.6148,0.0,1.0,EBLM,20170724,B
383303945,311.68283333333335,6.302694444444445,9.429,EBLM J2046+06,10.1078,0.0,846.0198,0.0,1.0,EBLM,20170724,B
126700850,315.2593333333333,-45.115944444444445,9.862,EBLM J2101-45,25.5769,0.0,1519.1914,0.0,1.0,EBLM,20170724,B
126763885,316.2144583333333,-46.326055555555556,12.35,EBLM J2104-46,4.3573,0.0,400.2385,0.0,1.0,EBLM,20170724,B
115115136,316.796125,-39.766305555555554,11.345,EBLM J2107-39,3.9618,0.0,558.5945,0.0,1.0,EBLM,20170724,B
211376134,320.74108333333334,-32.488083333333336,10.134,EBLM J2122-32,18.4214,0.0,1990.8124,0.0,1.0,EBLM,20170724,B
219322317,328.3189166666666,-55.98533333333334,12.132,EBLM J2153-55,8.5448,0.0,1256.3929,0.0,1.0,EBLM,20170724,B
207081058,331.86720833333334,-41.81547222222222,9.929,EBLM J2207-41,14.7748,0.0,1873.4177,0.0,1.0,EBLM,20170724,B
143924219,332.7030833333333,-48.89063888888889,8.322,EBLM J2210-48,2.8201,0.0,1736.2791,0.0,1.0,EBLM,20170724,B
439837578,334.4922083333334,-4.8646111111111106,11.417,EBLM J2217-04,8.1553,0.0,868.0918,0.0,1.0,EBLM,20170724,B
253922296,338.12620833333335,-31.244194444444446,9.908,EBLM J2232-31,3.1415,0.0,1750.7231,0.0,1.0,EBLM,20170724,B
214299966,339.168,-36.94408333333333,10.416,EBLM J2236-36,3.0672,0.0,588.0486,0.0,1.0,EBLM,20170724,B
139256217,347.19025,-46.11016666666667,10.986,EBLM J2308-46,2.1992,0.0,712.6746,0.0,1.0,EBLM,20170724,B
235009317,352.64591666666666,-61.97430555555556,11.774,EBLM J2330-61,7.4572,0.0,1308.3033,0.0,1.0,EBLM,20170724,B
380825087,357.3134583333333,-32.77152777777778,11.038,EBLM J2349-32,3.5497,0.0,532.8340000000001,0.0,1.0,EBLM,20170724,B
9727392,358.4447083333333,-10.884972222222222,11.239,EBLM J2353-10,4.5345,0.0,1632.1894,0.0,1.0,EBLM,20170724,B
